card1,card2,win,lose
chevaucheur de cochon,gobelin a sarbacane,3,6
chevaucheur de cochon,cabane de barbares,5,2
chevaucheur de cochon,golem de glace,2,3
chevaucheur de cochon,mineur,7,3
chevaucheur de cochon,fut a barbare,6,5
chevaucheur de cochon,gobelins,4,1
chevaucheur de cochon,squelette geant,5,2
gobelin a sarbacane,cabane de barbares,11,6
gobelin a sarbacane,golem de glace,1,2
gobelin a sarbacane,mineur,4,7
gobelin a sarbacane,fut a barbare,3,4
gobelin a sarbacane,gobelins,3,6
gobelin a sarbacane,squelette geant,14,5
cabane de barbares,golem de glace,1,2
cabane de barbares,mineur,4,3
cabane de barbares,fut a barbare,3,3
cabane de barbares,gobelins,3,4
cabane de barbares,squelette geant,3,1
golem de glace,mineur,2,0
golem de glace,fut a barbare,1,2
golem de glace,gobelins,1,0
golem de glace,squelette geant,1,1
mineur,fut a barbare,4,1
mineur,gobelins,2,4
mineur,squelette geant,4,4
fut a barbare,gobelins,5,3
fut a barbare,squelette geant,7,3
gobelins,squelette geant,5,3
belier de combat,cage gobeline,1,4
belier de combat,esprit de glace,9,1
belier de combat,squelettes,8,2
belier de combat,sorciere,6,3
belier de combat,golem de glace,1,2
belier de combat,chevaucheur de cochon,6,2
belier de combat,valkyrie,1,2
cage gobeline,esprit de glace,5,0
cage gobeline,squelettes,3,1
cage gobeline,sorciere,5,3
cage gobeline,golem de glace,1,4
cage gobeline,chevaucheur de cochon,1,2
cage gobeline,valkyrie,1,1
esprit de glace,squelettes,7,1
esprit de glace,sorciere,17,5
esprit de glace,golem de glace,2,1
esprit de glace,chevaucheur de cochon,5,3
esprit de glace,valkyrie,3,1
squelettes,sorciere,9,1
squelettes,golem de glace,1,1
squelettes,chevaucheur de cochon,7,1
squelettes,valkyrie,3,2
sorciere,golem de glace,2,2
sorciere,chevaucheur de cochon,9,5
sorciere,valkyrie,3,5
golem de glace,valkyrie,1,1
chevaucheur de cochon,valkyrie,1,2
valkyrie,fut a gobelin,0,1
valkyrie,esprit de feu,0,1
valkyrie,machine volante,0,1
valkyrie,gargouille,0,2
valkyrie,gobelin a lance,0,1
valkyrie,cabane de barbares,3,1
fut a gobelin,golem de glace,0,1
fut a gobelin,esprit de feu,0,3
fut a gobelin,machine volante,1,2
fut a gobelin,gargouille,0,2
fut a gobelin,gobelin a lance,4,2
fut a gobelin,cabane de barbares,0,3
golem de glace,esprit de feu,0,2
golem de glace,machine volante,0,2
golem de glace,gargouille,0,1
golem de glace,gobelin a lance,0,1
esprit de feu,machine volante,0,1
esprit de feu,gargouille,4,2
esprit de feu,gobelin a lance,1,1
esprit de feu,cabane de barbares,1,3
machine volante,gargouille,0,2
machine volante,gobelin a lance,0,1
machine volante,cabane de barbares,0,2
gargouille,gobelin a lance,1,3
gargouille,cabane de barbares,1,2
gobelin a lance,cabane de barbares,1,1
prince tenebreux,electrocution,12,4
prince tenebreux,dragon squelettes,29,6
prince tenebreux,fut a gobelin,9,2
prince tenebreux,mini p.e.k.k.a,40,9
prince tenebreux,pierre tombale,13,7
prince tenebreux,tour a bombe,8,3
prince tenebreux,gobelins,11,4
electrocution,dragon squelettes,9,3
electrocution,fut a gobelin,1,2
electrocution,mini p.e.k.k.a,11,5
electrocution,pierre tombale,4,3
electrocution,tour a bombe,1,1
electrocution,gobelins,3,5
dragon squelettes,fut a gobelin,5,3
dragon squelettes,mini p.e.k.k.a,17,6
dragon squelettes,pierre tombale,9,2
dragon squelettes,tour a bombe,6,3
dragon squelettes,gobelins,7,4
fut a gobelin,mini p.e.k.k.a,4,4
fut a gobelin,pierre tombale,2,5
fut a gobelin,tour a bombe,2,4
fut a gobelin,gobelins,4,4
mini p.e.k.k.a,pierre tombale,16,9
mini p.e.k.k.a,tour a bombe,8,1
mini p.e.k.k.a,gobelins,7,3
pierre tombale,tour a bombe,6,6
pierre tombale,gobelins,6,2
tour a bombe,gobelins,2,2
archeres,mega gargouille,2,3
archeres,tour de l'enfer,1,5
archeres,fut a barbare,5,3
archeres,prince,1,3
archeres,cabane de gobelin,3,5
archeres,chevaucheur de cochon,4,3
archeres,prince tenebreux,6,3
mega gargouille,tour de l'enfer,2,4
mega gargouille,fut a barbare,5,2
mega gargouille,prince,3,4
mega gargouille,cabane de gobelin,5,3
mega gargouille,chevaucheur de cochon,8,5
mega gargouille,prince tenebreux,15,4
tour de l'enfer,fut a barbare,2,3
tour de l'enfer,prince,6,3
tour de l'enfer,cabane de gobelin,7,7
tour de l'enfer,chevaucheur de cochon,4,4
tour de l'enfer,prince tenebreux,11,4
fut a barbare,prince,4,4
fut a barbare,cabane de gobelin,4,3
fut a barbare,prince tenebreux,8,5
prince,cabane de gobelin,8,3
prince,chevaucheur de cochon,4,3
prince,prince tenebreux,11,2
cabane de gobelin,chevaucheur de cochon,4,3
cabane de gobelin,prince tenebreux,15,3
chevaucheur de cochon,prince tenebreux,12,2
prince,squelette geant,0,2
prince,fleche,0,1
prince,guerrisseuse armee,0,2
prince,electrocution,1,2
prince,mineur,0,1
prince,gobelins,5,2
fut a barbare,fleche,0,2
fut a barbare,guerrisseuse armee,1,1
fut a barbare,electrocution,2,1
squelette geant,fleche,2,2
squelette geant,guerrisseuse armee,4,2
squelette geant,electrocution,9,4
fleche,guerrisseuse armee,0,1
fleche,electrocution,0,2
fleche,mineur,2,1
fleche,gobelins,1,3
guerrisseuse armee,electrocution,1,2
guerrisseuse armee,mineur,0,3
guerrisseuse armee,gobelins,2,3
electrocution,mineur,6,7
mega gargouille,gargouille,5,3
mega gargouille,sorcier,2,1
mega gargouille,chauves-souris,7,2
mega gargouille,squelette geant,8,4
gargouille,sorcier,1,1
gargouille,chauves-souris,3,4
gargouille,squelette geant,7,2
gargouille,fut a barbare,2,2
gargouille,chevaucheur de cochon,1,3
gargouille,archeres,3,2
sorcier,chauves-souris,1,1
sorcier,squelette geant,1,3
sorcier,fut a barbare,2,2
sorcier,chevaucheur de cochon,2,4
sorcier,archeres,1,1
chauves-souris,squelette geant,6,1
chauves-souris,fut a barbare,3,3
chauves-souris,chevaucheur de cochon,3,4
chauves-souris,archeres,1,3
squelette geant,archeres,1,2
tour de l'enfer,golem de glace,0,1
tour de l'enfer,foudre,3,1
tour de l'enfer,cage gobeline,0,1
tour de l'enfer,belier de combat,3,1
tour de l'enfer,fleche,0,4
tour de l'enfer,chauves-souris,0,1
golem de glace,foudre,0,1
golem de glace,fleche,0,1
golem de glace,chauves-souris,0,1
foudre,cage gobeline,3,1
foudre,belier de combat,0,3
foudre,fleche,0,1
foudre,chevaucheur de cochon,2,4
foudre,chauves-souris,1,1
cage gobeline,fleche,0,1
cage gobeline,chauves-souris,0,2
belier de combat,fleche,0,1
belier de combat,chauves-souris,2,4
fleche,chevaucheur de cochon,1,2
fleche,chauves-souris,1,1
guerrisseuse armee,gobelin a sarbacane,7,4
guerrisseuse armee,berserker,5,2
guerrisseuse armee,chevaucheur de cochon,2,3
guerrisseuse armee,fut a gobelin,3,3
guerrisseuse armee,sorcier,0,2
guerrisseuse armee,barbares,0,1
guerrisseuse armee,chauves-souris,0,1
gobelin a sarbacane,berserker,6,4
gobelin a sarbacane,fut a gobelin,4,6
gobelin a sarbacane,sorcier,0,2
gobelin a sarbacane,barbares,0,1
gobelin a sarbacane,chauves-souris,1,3
berserker,chevaucheur de cochon,0,1
berserker,fut a gobelin,1,2
berserker,sorcier,0,1
berserker,barbares,0,3
berserker,chauves-souris,0,1
chevaucheur de cochon,fut a gobelin,1,2
chevaucheur de cochon,barbares,0,1
fut a gobelin,sorcier,0,1
fut a gobelin,barbares,0,1
fut a gobelin,chauves-souris,1,2
sorcier,barbares,0,1
barbares,chauves-souris,0,1
mini p.e.k.k.a,esprit de glace,18,4
mini p.e.k.k.a,geant royal,4,3
mini p.e.k.k.a,cabane de gobelin,10,2
mini p.e.k.k.a,geant,14,6
mini p.e.k.k.a,archeres,6,4
esprit de glace,geant royal,5,3
esprit de glace,cabane de gobelin,4,4
esprit de glace,geant,11,3
esprit de glace,archeres,3,1
esprit de glace,prince tenebreux,24,6
esprit de glace,fut a gobelin,3,2
geant royal,cabane de gobelin,5,4
geant royal,geant,4,2
geant royal,archeres,2,0
geant royal,prince tenebreux,8,4
geant royal,fut a gobelin,4,2
cabane de gobelin,geant,7,1
cabane de gobelin,fut a gobelin,5,5
geant,archeres,3,2
geant,prince tenebreux,16,8
geant,fut a gobelin,2,1
archeres,fut a gobelin,2,1
prince,geant,5,3
prince,armee de squelettes,3,2
prince,dragon squelettes,6,2
prince,tour a bombe,4,3
prince,gobelin a sarbacane,5,4
prince,mini p.e.k.k.a,5,2
geant,armee de squelettes,7,5
geant,dragon squelettes,10,4
geant,tour a bombe,8,3
geant,gobelin a sarbacane,4,3
armee de squelettes,dragon squelettes,7,4
armee de squelettes,tour a bombe,3,2
armee de squelettes,gobelin a sarbacane,15,6
armee de squelettes,prince tenebreux,9,4
armee de squelettes,mini p.e.k.k.a,13,5
dragon squelettes,gobelin a sarbacane,11,9
tour a bombe,gobelin a sarbacane,3,3
gobelin a sarbacane,prince tenebreux,18,10
gobelin a sarbacane,mini p.e.k.k.a,21,11
esprit de glace,prince,5,2
esprit de glace,p.e.k.k.a,9,3
esprit de glace,gobelins,4,4
esprit de glace,armee de squelettes,11,2
prince,geant royal,3,0
prince,p.e.k.k.a,1,1
prince,fut a gobelin,5,2
geant royal,p.e.k.k.a,3,1
geant royal,gobelins,1,2
geant royal,armee de squelettes,2,1
p.e.k.k.a,gobelins,4,4
p.e.k.k.a,armee de squelettes,5,2
p.e.k.k.a,fut a gobelin,3,3
p.e.k.k.a,prince tenebreux,13,6
gobelins,armee de squelettes,3,4
armee de squelettes,fut a gobelin,3,4
mini p.e.k.k.a,tour de l'enfer,11,5
tour de l'enfer,fut a gobelin,4,4
